Rk,Team,Seed,Date,PTS,,Opp,Opp Seed,Result,Round,Region,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,Miami (FL),5,2023-03-19 NCAA,85,N,Indiana,4,W 85-69,Rnd of 32,Midwest,200,34,70,.486,25,47,.532,9,23,.391,8,13,.615,85,26,63,.413,18,38,.474,8,25,.320,9,14,.643,69
2,Creighton,6,2023-03-19 NCAA,85,N,Baylor,3,W 85-76,Rnd of 32,South,200,26,55,.473,15,31,.484,11,24,.458,22,22,1.000,85,29,63,.460,24,41,.585,5,22,.227,13,19,.684,76
3,Gonzaga,3,2023-03-19 NCAA,84,N,TCU,6,W 84-81,Rnd of 32,West,200,30,67,.448,22,42,.524,8,25,.320,16,25,.640,84,30,67,.448,21,42,.500,9,25,.360,12,20,.600,81
4,Xavier,3,2023-03-19 NCAA,84,N,Pittsburgh,11,W 84-73,Rnd of 32,Midwest,200,30,63,.476,22,39,.564,8,24,.333,16,26,.615,84,27,70,.386,21,50,.420,6,20,.300,13,20,.650,73
5,TCU,6,2023-03-19 NCAA,81,N,Gonzaga,3,L 81-84,Rnd of 32,West,200,30,67,.448,21,42,.500,9,25,.360,12,20,.600,81,30,67,.448,22,42,.524,8,25,.320,16,25,.640,84
6,Houston,1,2023-03-18 NCAA,81,N,Auburn,9,W 81-64,Rnd of 32,Midwest,200,25,60,.417,18,38,.474,7,22,.318,24,29,.828,81,20,53,.377,15,37,.405,5,16,.313,19,36,.528,64
7,Florida Atlantic,9,2023-03-19 NCAA,78,N,FDU,16,W 78-70,Rnd of 32,East,200,29,71,.408,20,40,.500,9,31,.290,11,18,.611,78,27,71,.380,18,40,.450,9,31,.290,7,10,.700,70
8,Princeton,15,2023-03-18 NCAA,78,N,Missouri,7,W 78-63,Rnd of 32,South,200,27,62,.435,15,29,.517,12,33,.364,12,15,.800,78,25,61,.410,19,39,.487,6,22,.273,7,7,1.000,63
9,Baylor,3,2023-03-19 NCAA,76,N,Creighton,6,L 76-85,Rnd of 32,South,200,29,63,.460,24,41,.585,5,22,.227,13,19,.684,76,26,55,.473,15,31,.484,11,24,.458,22,22,1.000,85
10,Kansas State,3,2023-03-19 NCAA,75,N,Kentucky,6,W 75-69,Rnd of 32,East,200,26,54,.481,21,33,.636,5,21,.238,18,22,.818,75,26,63,.413,22,43,.512,4,20,.200,13,17,.765,69
11,San Diego State,5,2023-03-18 NCAA,75,N,Furman,13,W 75-52,Rnd of 32,South,200,29,58,.500,23,38,.605,6,20,.300,11,14,.786,75,16,50,.320,10,24,.417,6,26,.231,14,18,.778,52
12,Pittsburgh,11,2023-03-19 NCAA,73,N,Xavier,3,L 73-84,Rnd of 32,Midwest,200,27,70,.386,21,50,.420,6,20,.300,13,20,.650,73,30,63,.476,22,39,.564,8,24,.333,16,26,.615,84
13,Alabama,1,2023-03-18 NCAA,73,N,Maryland,8,W 73-51,Rnd of 32,South,200,23,58,.397,17,37,.459,6,21,.286,21,28,.750,73,19,54,.352,18,46,.391,1,8,.125,12,21,.571,51
14,Arkansas,8,2023-03-18 NCAA,72,N,Kansas,1,W 72-71,Rnd of 32,West,200,24,58,.414,21,43,.488,3,15,.200,21,26,.808,72,24,50,.480,19,37,.514,5,13,.385,18,25,.720,71
15,Texas,2,2023-03-18 NCAA,71,N,Penn State,10,W 71-66,Rnd of 32,Midwest,200,31,61,.508,30,48,.625,1,13,.077,8,11,.727,71,25,60,.417,17,32,.531,8,28,.286,8,11,.727,66
16,Kansas,1,2023-03-18 NCAA,71,N,Arkansas,8,L 71-72,Rnd of 32,West,200,24,50,.480,19,37,.514,5,13,.385,18,25,.720,71,24,58,.414,21,43,.488,3,15,.200,21,26,.808,72
17,Connecticut,4,2023-03-19 NCAA,70,N,St. Mary's (CA),5,W 70-55,Rnd of 32,West,200,27,50,.540,17,28,.607,10,22,.455,6,7,.857,70,19,49,.388,15,35,.429,4,14,.286,13,19,.684,55
18,FDU,16,2023-03-19 NCAA,70,N,Florida Atlantic,9,L 70-78,Rnd of 32,East,200,27,71,.380,18,40,.450,9,31,.290,7,10,.700,70,29,71,.408,20,40,.500,9,31,.290,11,18,.611,78
19,Michigan State,7,2023-03-19 NCAA,69,N,Marquette,2,W 69-60,Rnd of 32,East,200,24,54,.444,22,38,.579,2,16,.125,19,23,.826,69,20,52,.385,9,25,.360,11,27,.407,9,14,.643,60
20,Indiana,4,2023-03-19 NCAA,69,N,Miami (FL),5,L 69-85,Rnd of 32,Midwest,200,26,63,.413,18,38,.474,8,25,.320,9,14,.643,69,34,70,.486,25,47,.532,9,23,.391,8,13,.615,85
21,Kentucky,6,2023-03-19 NCAA,69,N,Kansas State,3,L 69-75,Rnd of 32,East,199,26,63,.413,22,43,.512,4,20,.200,13,17,.765,69,26,54,.481,21,33,.636,5,21,.238,18,22,.818,75
22,UCLA,2,2023-03-18 NCAA,68,N,Northwestern,7,W 68-63,Rnd of 32,West,200,22,44,.500,16,29,.552,6,15,.400,18,21,.857,68,22,59,.373,16,37,.432,6,22,.273,13,15,.867,63
23,Penn State,10,2023-03-18 NCAA,66,N,Texas,2,L 66-71,Rnd of 32,Midwest,200,25,60,.417,17,32,.531,8,28,.286,8,11,.727,66,31,61,.508,30,48,.625,1,13,.077,8,11,.727,71
24,Tennessee,4,2023-03-18 NCAA,65,N,Duke,5,W 65-52,Rnd of 32,East,200,23,57,.404,14,36,.389,9,21,.429,10,13,.769,65,21,49,.429,15,27,.556,6,22,.273,4,7,.571,52
25,Auburn,9,2023-03-18 NCAA,64,N,Houston,1,L 64-81,Rnd of 32,Midwest,200,20,53,.377,15,37,.405,5,16,.313,19,36,.528,64,25,60,.417,18,38,.474,7,22,.318,24,29,.828,81
26,Northwestern,7,2023-03-18 NCAA,63,N,UCLA,2,L 63-68,Rnd of 32,West,200,22,59,.373,16,37,.432,6,22,.273,13,15,.867,63,22,44,.500,16,29,.552,6,15,.400,18,21,.857,68
27,Missouri,7,2023-03-18 NCAA,63,N,Princeton,15,L 63-78,Rnd of 32,South,200,25,61,.410,19,39,.487,6,22,.273,7,7,1.000,63,27,62,.435,15,29,.517,12,33,.364,12,15,.800,78
28,Marquette,2,2023-03-19 NCAA,60,N,Michigan State,7,L 60-69,Rnd of 32,East,200,20,52,.385,9,25,.360,11,27,.407,9,14,.643,60,24,54,.444,22,38,.579,2,16,.125,19,23,.826,69
29,St. Mary's (CA),5,2023-03-19 NCAA,55,N,Connecticut,4,L 55-70,Rnd of 32,West,200,19,49,.388,15,35,.429,4,14,.286,13,19,.684,55,27,50,.540,17,28,.607,10,22,.455,6,7,.857,70
30,Furman,13,2023-03-18 NCAA,52,N,San Diego State,5,L 52-75,Rnd of 32,South,200,16,50,.320,10,24,.417,6,26,.231,14,18,.778,52,29,58,.500,23,38,.605,6,20,.300,11,14,.786,75
31,Duke,5,2023-03-18 NCAA,52,N,Tennessee,4,L 52-65,Rnd of 32,East,200,21,49,.429,15,27,.556,6,22,.273,4,7,.571,52,23,57,.404,14,36,.389,9,21,.429,10,13,.769,65
32,Maryland,8,2023-03-18 NCAA,51,N,Alabama,1,L 51-73,Rnd of 32,South,200,19,54,.352,18,46,.391,1,8,.125,12,21,.571,51,23,58,.397,17,37,.459,6,21,.286,21,28,.750,73